Initial_Price,Final_Price,Win_Flag,Mac_Flag,Linux_Flag,Positive_Reviews,Negative_Reviews,Memory_MB,Storage_MB,target
439.0,439.0,True,True,True,138.0,21.0,2048,3072,1
459.0,459.0,True,False,False,13.0,27.0,8192,3072,-1
345.0,345.0,True,True,True,48.0,3.0,4096,2700,1
165.0,165.0,True,False,False,76.0,79.0,1024,500,0
459.0,459.0,True,False,False,119.0,21.0,8192,2048,1
199.0,199.0,True,True,True,50.0,0.0,2048,500,1
369.0,369.0,True,True,True,72.0,40.0,1024,500,0
529.0,529.0,True,True,True,2993.0,406.0,2048,1024,1
259.0,259.0,True,False,False,20.0,14.0,2,125,0
0.0,0.0,True,False,False,11.0,3.0,4096,3072,1
349.0,349.0,True,False,False,22.0,3.0,8192,1024,1
165.0,165.0,True,True,False,1155.0,192.0,1024,30,1
0.0,0.0,True,False,False,67.0,13.0,4096,352,1
459.0,459.0,True,True,True,247.0,25.0,2048,3072,1
439.0,439.0,True,False,False,3747.0,594.0,4096,10240,1
0.0,0.0,True,True,False,141.0,34.0,8192,200,1
200.0,200.0,True,False,False,45.0,16.0,6144,22528,1
880.0,880.0,True,False,False,56.0,23.0,8192,4096,0
529.0,529.0,True,False,False,388.0,91.0,4096,6144,1
419.0,419.0,True,True,False,49.0,6.0,1024,512,1
345.0,345.0,True,True,True,8.0,5.0,2048,800,0
369.0,369.0,True,False,False,239.0,43.0,16,1200,1
479.0,479.0,True,True,False,569.0,86.0,1024,2048,1
529.0,529.0,True,False,False,28.0,7.0,12288,5120,1
250.0,250.0,True,False,False,15.0,10.0,512,100,0
610.0,610.0,True,True,True,578.0,106.0,256,800,1
219.0,219.0,True,False,False,54.0,8.0,4096,5120,1
369.0,369.0,True,False,False,14.0,3.0,512,400,1
0.0,0.0,True,False,False,658.0,27.0,4096,200,1
459.0,459.0,True,True,False,52.0,12.0,2048,1024,0
165.0,165.0,True,False,False,10.0,16.0,1024,70,-1
259.0,259.0,True,False,False,77.0,12.0,1024,1024,1
770.0,770.0,True,False,False,40.0,8.0,8192,5120,1
400.0,400.0,True,True,True,396.0,30.0,4096,200,1
459.0,459.0,True,True,False,545.0,107.0,512,1024,1
2646.0,2646.0,True,False,False,3343.0,744.0,4096,6000,1
52.0,52.0,True,False,False,29.0,0.0,2048,300,1
459.0,459.0,True,True,False,83.0,20.0,4096,2048,1
0.0,0.0,True,False,False,4.0,12.0,8192,2048,-1
349.0,349.0,True,False,True,463.0,69.0,4096,500,1
105.0,105.0,True,False,False,10.0,1.0,8192,500,1
329.0,164.0,True,False,False,140.0,12.0,1024,250,1
0.0,0.0,True,True,True,14.0,1.0,2048,20,1
299.0,299.0,True,True,False,252.0,75.0,4096,1024,1
529.0,529.0,True,True,False,385.0,55.0,2048,280,1
58.0,58.0,True,True,True,923.0,240.0,1024,100,1
759.0,759.0,True,False,False,761.0,252.0,4096,2048,1
219.0,219.0,True,False,True,33.0,7.0,1024,300,1
200.0,200.0,True,False,False,13.0,3.0,1024,100,1
219.0,219.0,True,False,False,89.0,219.0,2048,500,-1
4000.0,4000.0,True,True,True,19.0,28.0,4096,4096,0
349.0,349.0,True,True,False,7.0,3.0,1024,150,1
480.0,96.0,True,False,False,163.0,119.0,4096,2048,0
880.0,880.0,True,False,False,243.0,49.0,2048,4096,1
0.0,0.0,True,False,False,19.0,1.0,4096,1024,1
319.0,63.0,True,True,False,201.0,54.0,1024,450,1
155.0,155.0,True,False,False,43.0,5.0,8192,4096,1
169.0,169.0,True,False,False,250.0,285.0,2048,4096,0
219.0,219.0,True,True,True,49.0,0.0,2048,500,1
459.0,459.0,True,True,True,89.0,7.0,4096,2048,1
229.0,229.0,True,False,False,34.0,8.0,8192,480,1
85.0,85.0,True,False,False,32.0,14.0,2048,512,0
349.0,349.0,True,True,False,145.0,5.0,1024,200,1
299.0,299.0,True,False,False,9.0,3.0,4096,790,1
369.0,276.0,True,True,False,26.0,9.0,2048,1024,1
52.0,26.0,True,False,False,27.0,22.0,1024,1024,0
349.0,349.0,True,False,False,28.0,6.0,4096,2048,1
349.0,349.0,True,True,True,37.0,11.0,1024,1024,1
52.0,52.0,True,False,True,1779.0,89.0,4096,2048,1
569.0,569.0,True,False,False,64.0,83.0,4096,16384,-1
229.0,229.0,True,True,False,29.0,59.0,512,2048,-1
0.0,0.0,True,True,True,602.0,86.0,3072,600,1
250.0,250.0,True,True,True,55.0,29.0,256,210,0
0.0,0.0,True,False,False,82.0,4.0,2048,149,1
42.0,42.0,True,True,True,21.0,9.0,1024,120,0
0.0,0.0,True,True,True,61.0,17.0,4096,1024,1
52.0,52.0,True,False,False,16.0,10.0,512,300,1
155.0,155.0,True,True,True,2676.0,375.0,1024,1024,1
0.0,0.0,True,False,False,85.0,11.0,2048,1024,1
0.0,0.0,True,False,False,183.0,27.0,4096,3072,1
690.0,690.0,True,True,True,5321.0,191.0,512,250,1
125.0,68.0,True,True,False,631.0,87.0,4096,500,1
0.0,0.0,True,False,False,31.0,9.0,12288,3072,1
0.0,0.0,True,True,False,3136.0,296.0,2048,400,1
0.0,0.0,True,False,False,53.0,15.0,4096,500,1
349.0,349.0,True,False,False,675.0,206.0,8192,2048,1
42.0,42.0,True,False,False,6.0,17.0,16384,17408,-1
155.0,155.0,True,False,False,31.0,8.0,256,300,1
349.0,349.0,True,False,False,42.0,0.0,4096,120,1
459.0,459.0,True,False,False,26.0,6.0,8192,10240,1
42.0,42.0,True,True,False,192.0,62.0,1024,300,1
125.0,125.0,True,False,True,9.0,4.0,2048,3072,0
0.0,0.0,True,True,False,9944.0,2708.0,2048,2048,1
4399.0,4399.0,True,False,False,318.0,63.0,8192,3072,1
0.0,0.0,True,False,False,60.0,10.0,2048,200,1
250.0,250.0,True,False,False,14.0,3.0,4096,850,1
1100.0,1100.0,True,True,True,50.0,28.0,512,80,1
0.0,0.0,True,False,False,19.0,18.0,8192,2048,0
529.0,529.0,True,False,False,14.0,11.0,8192,10240,0
349.0,349.0,True,True,True,31.0,7.0,2048,400,1
105.0,105.0,True,False,False,8.0,6.0,120,104,0
349.0,349.0,True,False,False,25.0,2.0,4096,8192,1
459.0,459.0,True,False,False,116.0,0.0,4096,1024,1
379.0,379.0,True,False,False,25.0,3.0,8192,5120,1
125.0,125.0,True,False,False,22.0,1.0,2048,1024,1
85.0,85.0,True,False,False,23.0,28.0,4096,500,0
58.0,58.0,True,True,False,92.0,28.0,2048,30,1
155.0,155.0,True,False,False,526.0,12.0,512,800,1
349.0,349.0,True,True,True,42.0,7.0,1024,250,1
0.0,0.0,True,False,False,14.0,8.0,256,300,0
399.0,399.0,True,False,False,19.0,5.0,2048,2048,1
200.0,200.0,True,False,False,28.0,8.0,1024,50,1
168.0,168.0,True,False,False,1151.0,67.0,2048,1024,1
0.0,0.0,True,False,False,246.0,12.0,1024,200,1
199.0,199.0,True,False,False,14.0,3.0,1024,600,1
0.0,0.0,True,False,False,20.0,6.0,4000,1000,1
43.0,43.0,True,False,False,11.0,4.0,512,1024,0
379.0,379.0,True,False,False,87.0,1.0,1024,195,1
529.0,529.0,True,True,True,449.0,38.0,4096,3500,1
0.0,0.0,True,False,False,84.0,25.0,1024,322,1
459.0,459.0,True,False,False,29.0,28.0,2048,2048,0
299.0,299.0,True,False,False,13.0,4.0,2048,512,0
479.0,479.0,True,True,True,1719.0,300.0,1024,350,1
300.0,300.0,True,False,False,106.0,17.0,4096,3072,1
155.0,155.0,True,True,True,111.0,19.0,1024,340,1
299.0,299.0,True,True,True,21.0,11.0,512,50,1
0.0,0.0,True,False,False,9.0,1.0,1024,1024,1
219.0,219.0,True,False,False,11.0,2.0,1024,200,1
0.0,0.0,True,False,False,573304.0,141866.0,6144,57344,1
650.0,650.0,True,True,True,81.0,4.0,1024,1200,1
125.0,125.0,True,True,False,12.0,0.0,8192,500,1
85.0,85.0,True,False,True,2493.0,116.0,4096,500,1
459.0,459.0,True,True,False,85.0,35.0,2048,1024,1
0.0,0.0,True,False,False,56.0,9.0,500,30,1
699.0,699.0,True,False,False,12.0,4.0,4096,4096,0
0.0,0.0,True,False,False,9.0,1.0,500,150,1
0.0,0.0,True,False,False,5.0,6.0,8192,8192,0
0.0,0.0,True,False,False,25237.0,4007.0,16384,143360,1
155.0,155.0,True,False,False,29.0,2.0,2,180,1
250.0,250.0,True,True,False,253.0,95.0,512,250,1
0.0,0.0,True,False,False,590.0,354.0,25600,450,0
199.0,199.0,True,True,True,25.0,0.0,1024,850,1
565.0,565.0,True,True,True,3794.0,583.0,2048,10240,1
259.0,259.0,True,False,False,52.0,44.0,512,850,0
0.0,0.0,True,False,False,12.0,1.0,4096,800,1
489.0,489.0,True,True,False,11.0,17.0,4096,3072,-1
690.0,690.0,True,False,False,446.0,154.0,2048,2048,1
299.0,299.0,True,True,False,447.0,90.0,1024,500,1
0.0,0.0,True,False,False,112.0,12.0,8192,10240,1
85.0,85.0,True,True,True,32.0,10.0,256,600,1
125.0,125.0,True,False,False,28.0,0.0,1024,100,1
770.0,770.0,True,False,False,4991.0,8394.0,8192,30720,-1
479.0,479.0,True,False,False,2615.0,155.0,8192,3072,1
85.0,85.0,True,False,False,661.0,137.0,1024,200,1
369.0,369.0,True,True,True,5594.0,1540.0,1024,200,1
259.0,259.0,True,False,False,53.0,8.0,4096,2048,1
369.0,369.0,True,True,False,365.0,29.0,2048,450,1
459.0,459.0,True,False,False,7.0,7.0,8192,3072,0
165.0,165.0,True,False,False,26.0,2.0,2048,500,1
250.0,250.0,True,True,False,649.0,15.0,4,100,1
119.0,119.0,True,True,True,326.0,318.0,2048,4096,0
499.0,499.0,True,True,False,157.0,74.0,4096,4096,0
0.0,0.0,True,True,True,52.0,19.0,4096,5120,1
0.0,0.0,True,False,False,7.0,5.0,4096,500,0
199.0,0.0,True,False,False,128.0,19.0,1024,500,1
200.0,120.0,True,False,False,42.0,9.0,4096,1024,1
349.0,349.0,True,False,False,13.0,10.0,4096,1024,0
0.0,0.0,True,False,False,24.0,16.0,2048,500,0
85.0,85.0,True,False,False,223.0,11.0,512,100,1
989.0,989.0,True,False,False,3246.0,912.0,3072,15360,1
250.0,250.0,True,False,False,12.0,1.0,512,33,1
565.0,565.0,True,False,False,988.0,110.0,1024,1024,1
119.0,119.0,True,False,False,427.0,33.0,2048,500,1
920.0,230.0,True,True,True,130422.0,4503.0,4096,7168,1
0.0,0.0,True,False,False,5684.0,2281.0,8192,15360,1
165.0,165.0,True,False,False,155.0,7.0,512,880,1
199.0,199.0,True,True,True,207.0,6.0,4096,350,1
300.0,300.0,True,False,False,9.0,2.0,2,200,1
250.0,250.0,True,True,False,30.0,2.0,2048,400,1
105.0,105.0,True,False,False,26.0,12.0,2048,200,0
42.0,42.0,True,False,False,23.0,17.0,8192,7168,0
52.0,52.0,True,False,False,12.0,1.0,2048,120,1
125.0,125.0,True,True,False,24.0,13.0,4096,200,1
250.0,250.0,True,False,False,52.0,29.0,8192,15360,1
105.0,105.0,True,True,True,2.0,9.0,512,210,-1
349.0,349.0,True,False,False,147.0,98.0,2048,3072,0
105.0,105.0,True,False,False,26.0,14.0,512,50,1
85.0,85.0,True,False,False,21.0,18.0,2048,3072,0
52.0,52.0,True,False,True,1422.0,123.0,512,300,1
0.0,0.0,True,False,False,12.0,2.0,4096,3072,1
0.0,0.0,True,True,True,348.0,151.0,2048,300,0
0.0,0.0,True,False,False,46.0,13.0,1024,200,1
250.0,250.0,True,False,False,35.0,16.0,512,50,1
329.0,329.0,True,False,False,165.0,38.0,2048,1200,1
880.0,880.0,True,False,False,1656.0,338.0,4096,2048,1
529.0,529.0,True,False,False,6.0,12.0,4096,3072,-1
52.0,52.0,True,False,False,20.0,15.0,4096,400,0
42.0,42.0,True,False,False,4.0,11.0,2048,150,-1
0.0,0.0,True,False,False,27.0,1.0,1024,170,1
439.0,439.0,True,False,False,15.0,21.0,8192,20480,-1
379.0,379.0,True,False,False,120.0,14.0,4096,3072,1
899.0,899.0,True,True,False,1783.0,546.0,4096,4096,1
0.0,0.0,True,False,False,350.0,323.0,4096,32768,0
480.0,480.0,True,False,False,178.0,13.0,2048,1024,1
52.0,52.0,True,True,True,70.0,31.0,256,50,0
529.0,529.0,True,False,False,1062.0,619.0,4096,10240,0
125.0,125.0,True,True,False,20.0,46.0,512,150,-1
659.0,659.0,True,False,False,103.0,26.0,6144,7168,1
419.0,419.0,True,False,False,104.0,8.0,4096,2048,1
200.0,200.0,True,True,True,52.0,11.0,2048,150,1
